719006758,T
53458987,T
1302786979,T
179121312,L
1473534663,L
672972611,T
1460276332,F
1832465426,T
1450146918,L
550626955,T
479734797,L
397144504,F
1943706227,T
735274884,L
952082332,F
1661426208,L
1572167554,T
1369111392,L
206789239,T
1266522740,F
860353512,L
1216341255,L
1823357838,L
1677056715,L
694367900,F
1470058342,T
1884279747,L
1478850457,T
2080997333,T
1061834021,T
1783150515,L
652520443,T
1115293008,L
938453847,L
831641755,T
441344024,F
1611426458,T
144434439,L
126325802,T
914089729,T
695061395,T
606060600,L
1311234233,T
491283974,T
1341335484,L
115832918,T
5226534,L
766019390,T
1484944310,T
212015773,T
2032542131,T
197814174,L
1428357028,F
1708416321,L
1874870889,L
2122724929,T
1030991015,T
1611666988,F
1454091738,L
964504700,F
526017362,T
1089758606,T
1617025143,L
1641310370,T
2028212453,T
301183251,L
2082654394,T
1492155263,T
445617690,L
61496549,T
258761344,F
1140679085,T
667557149,T
1569995578,T
1631963059,T
2008892633,T
1685828496,L
1637189593,T
627428375,T
1023289158,L
1849205366,T
512486858,T
1221103332,L
1130078747,T
73419532,F
948490574,T
1105320028,F
1104410547,L
412673914,T
411928118,T
2068915248,L
938691276,L
1501686724,F
1538456743,T
432517999,T
1382415529,T
1839639994,T
367688745,L
727087145,T
137774037,L
429185294,T
985848489,L
1278453122,T
1096742443,T
408360419,T
762932534,T
958151428,F
2094188915,T
252638479,T
1585579804,F
969994425,L
2101843846,T
2098066662,L
43614110,T
1084438945,T
24002546,T
992104684,F
42275325,L
1128413094,L
1404778598,T
454203443,T
1049844694,T
195986227,T
1955890168,F
440817789,L
628504226,T
1190822049,L
132974136,L
996192971,T
1917909194,T
270748173,L
1425378266,T
756274036,F
1549201295,T
374637061,T
1164634455,L
164650181,T
1332788490,L
1111339723,T
417288661,T
770884646,T
2081334148,F
371648859,L
721467660,L
2124948258,L
1456087804,F
745470207,L
969569294,T
1498363129,T
1873883301,L
226864245,L
1952566572,L
776244347,T
422850472,F
1760973092,F
1217062136,F
1051354698,L
804311494,T
1350036272,F
2047547669,T
574737040,F
1620784445,T
1325442287,T
1331011076,F
1022502093,L
1700079349,T
348161884,F
1187152274,T
885384191,T
1459501607,T
1604440935,L
1656268837,T
1393352107,T
1976089794,L
230252849,T
1370816718,L
